,donor,transconjugant
194,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
195,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
196,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
197,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
198,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
199,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
200,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
201,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
202,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
203,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
204,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
205,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
206,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
207,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
208,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
209,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
210,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
211,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
