,donor,recipient
118,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}"
119,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
120,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
121,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
122,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}"
123,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
124,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}"
125,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}"
126,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
127,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
128,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 2, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
129,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}"
130,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 3, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}"
131,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
132,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}"
133,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}"
134,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
135,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
136,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
137,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
138,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
139,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
140,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}"
141,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}"
142,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
143,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
144,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 3, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
145,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
146,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
147,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
148,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
149,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}"
150,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
151,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
152,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 4, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 2, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
153,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 4, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
154,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 4, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}"
155,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 3, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
156,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_mod_protein_molecule': 1}"
157,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
158,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
159,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}"
160,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T0_protein_molecule': 3, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}"
