,victim
238,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1208, 'TH_molecule': 1333, 'B_molecule': 1311, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 294, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 971, 'IGG_molecule': 325, 'B_PRESENTING_molecule': 2}"
239,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1217, 'TH_molecule': 1332, 'B_molecule': 1319, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 295, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 970, 'IGG_molecule': 322, 'B_PRESENTING_molecule': 2}"
240,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1225, 'TH_molecule': 1339, 'B_molecule': 1328, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 296, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 978, 'IGG_molecule': 329, 'B_PRESENTING_molecule': 2}"
241,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1224, 'TH_molecule': 1346, 'B_molecule': 1328, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 297, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 986, 'IGG_molecule': 335, 'B_PRESENTING_molecule': 2}"
242,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1232, 'TH_molecule': 1353, 'B_molecule': 1337, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 298, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 986, 'IGG_molecule': 332, 'B_PRESENTING_molecule': 2}"
243,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1231, 'TH_molecule': 1360, 'B_molecule': 1345, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 299, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 985, 'IGG_molecule': 327, 'B_PRESENTING_molecule': 2}"
244,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1231, 'TH_molecule': 1367, 'B_molecule': 1353, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 300, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 984, 'IGG_molecule': 324, 'B_PRESENTING_molecule': 2}"
245,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1240, 'TH_molecule': 1365, 'B_molecule': 1352, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 301, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 991, 'IGG_molecule': 331, 'B_PRESENTING_molecule': 2}"
246,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1248, 'TH_molecule': 1363, 'B_molecule': 1351, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 302, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 998, 'IGG_molecule': 337, 'B_PRESENTING_molecule': 2}"
247,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1257, 'TH_molecule': 1370, 'B_molecule': 1359, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 303, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 998, 'IGG_molecule': 333, 'B_PRESENTING_molecule': 2}"
248,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1265, 'TH_molecule': 1378, 'B_molecule': 1358, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 303, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1006, 'IGG_molecule': 339, 'B_PRESENTING_molecule': 2}"
249,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1274, 'TH_molecule': 1385, 'B_molecule': 1357, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 304, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1013, 'IGG_molecule': 345, 'B_PRESENTING_molecule': 2}"
250,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1283, 'TH_molecule': 1392, 'B_molecule': 1365, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 305, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1021, 'IGG_molecule': 350, 'B_PRESENTING_molecule': 2}"
251,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1282, 'TH_molecule': 1399, 'B_molecule': 1374, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 306, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1029, 'IGG_molecule': 355, 'B_PRESENTING_molecule': 2}"
252,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1290, 'TH_molecule': 1407, 'B_molecule': 1382, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 307, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1036, 'IGG_molecule': 362, 'B_PRESENTING_molecule': 2}"
253,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1289, 'TH_molecule': 1406, 'B_molecule': 1390, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 307, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1043, 'IGG_molecule': 370, 'B_PRESENTING_molecule': 2}"
254,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1297, 'TH_molecule': 1413, 'B_molecule': 1398, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 308, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1050, 'IGG_molecule': 376, 'B_PRESENTING_molecule': 2}"
255,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1296, 'TH_molecule': 1421, 'B_molecule': 1406, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 308, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1057, 'IGG_molecule': 382, 'B_PRESENTING_molecule': 2}"
256,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1304, 'TH_molecule': 1428, 'B_molecule': 1415, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 309, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1064, 'IGG_molecule': 390, 'B_PRESENTING_molecule': 2}"
257,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1303, 'TH_molecule': 1436, 'B_molecule': 1423, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 309, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1071, 'IGG_molecule': 396, 'B_PRESENTING_molecule': 2}"
258,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1311, 'TH_molecule': 1443, 'B_molecule': 1431, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 310, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1078, 'IGG_molecule': 401, 'B_PRESENTING_molecule': 2}"
259,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1319, 'TH_molecule': 1450, 'B_molecule': 1430, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 311, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1078, 'IGG_molecule': 398, 'B_PRESENTING_molecule': 2}"
260,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1318, 'TH_molecule': 1448, 'B_molecule': 1438, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 312, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1085, 'IGG_molecule': 406, 'B_PRESENTING_molecule': 2}"
261,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1326, 'TH_molecule': 1455, 'B_molecule': 1446, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 313, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1092, 'IGG_molecule': 412, 'B_PRESENTING_molecule': 2}"
262,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1334, 'TH_molecule': 1462, 'B_molecule': 1454, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 314, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1099, 'IGG_molecule': 418, 'B_PRESENTING_molecule': 2}"
263,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1342, 'TH_molecule': 1469, 'B_molecule': 1463, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 315, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1106, 'IGG_molecule': 424, 'B_PRESENTING_molecule': 2}"
264,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1350, 'TH_molecule': 1477, 'B_molecule': 1472, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 316, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1106, 'IGG_molecule': 419, 'B_PRESENTING_molecule': 2}"
265,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1358, 'TH_molecule': 1486, 'B_molecule': 1481, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 316, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1114, 'IGG_molecule': 424, 'B_PRESENTING_molecule': 2}"
266,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1366, 'TH_molecule': 1493, 'B_molecule': 1489, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 317, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1113, 'IGG_molecule': 420, 'B_PRESENTING_molecule': 2}"
267,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1365, 'TH_molecule': 1502, 'B_molecule': 1497, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 317, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1121, 'IGG_molecule': 426, 'B_PRESENTING_molecule': 2}"
268,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1373, 'TH_molecule': 1509, 'B_molecule': 1506, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 318, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1128, 'IGG_molecule': 431, 'B_PRESENTING_molecule': 2}"
269,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1381, 'TH_molecule': 1518, 'B_molecule': 1514, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 318, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1135, 'IGG_molecule': 437, 'B_PRESENTING_molecule': 2}"
270,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1390, 'TH_molecule': 1526, 'B_molecule': 1522, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 318, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1142, 'IGG_molecule': 443, 'B_PRESENTING_molecule': 2}"
271,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1390, 'TH_molecule': 1524, 'B_molecule': 1530, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 319, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1149, 'IGG_molecule': 449, 'B_PRESENTING_molecule': 2}"
272,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1398, 'TH_molecule': 1522, 'B_molecule': 1529, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 320, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1156, 'IGG_molecule': 455, 'B_PRESENTING_molecule': 2}"
273,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1406, 'TH_molecule': 1530, 'B_molecule': 1538, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 321, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1163, 'IGG_molecule': 461, 'B_PRESENTING_molecule': 2}"
274,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1415, 'TH_molecule': 1537, 'B_molecule': 1546, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 322, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1170, 'IGG_molecule': 467, 'B_PRESENTING_molecule': 2}"
275,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1414, 'TH_molecule': 1535, 'B_molecule': 1554, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 323, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1178, 'IGG_molecule': 473, 'B_PRESENTING_molecule': 2}"
276,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1422, 'TH_molecule': 1543, 'B_molecule': 1562, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 324, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1185, 'IGG_molecule': 480, 'B_PRESENTING_molecule': 2}"
277,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1430, 'TH_molecule': 1552, 'B_molecule': 1571, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 324, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1184, 'IGG_molecule': 477, 'B_PRESENTING_molecule': 2}"
278,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1429, 'TH_molecule': 1551, 'B_molecule': 1570, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 324, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1192, 'IGG_molecule': 483, 'B_PRESENTING_molecule': 2}"
279,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1437, 'TH_molecule': 1549, 'B_molecule': 1569, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 325, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1191, 'IGG_molecule': 480, 'B_PRESENTING_molecule': 2}"
280,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1445, 'TH_molecule': 1556, 'B_molecule': 1577, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 326, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 477, 'B_PRESENTING_molecule': 2}"
281,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1453, 'TH_molecule': 1563, 'B_molecule': 1585, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 327, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 472, 'B_PRESENTING_molecule': 2}"
282,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1461, 'TH_molecule': 1571, 'B_molecule': 1593, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 327, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 468, 'B_PRESENTING_molecule': 2}"
283,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1470, 'TH_molecule': 1578, 'B_molecule': 1592, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 328, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 463, 'B_PRESENTING_molecule': 2}"
284,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1478, 'TH_molecule': 1586, 'B_molecule': 1591, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 329, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 461, 'B_PRESENTING_molecule': 2}"
285,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1487, 'TH_molecule': 1593, 'B_molecule': 1599, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 330, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 457, 'B_PRESENTING_molecule': 2}"
286,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1495, 'TH_molecule': 1600, 'B_molecule': 1607, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 331, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 455, 'B_PRESENTING_molecule': 2}"
287,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1495, 'TH_molecule': 1608, 'B_molecule': 1615, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 332, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 451, 'B_PRESENTING_molecule': 2}"
288,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1494, 'TH_molecule': 1615, 'B_molecule': 1615, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 333, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 446, 'B_PRESENTING_molecule': 2}"
289,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1493, 'TH_molecule': 1623, 'B_molecule': 1614, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 333, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 442, 'B_PRESENTING_molecule': 2}"
290,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1501, 'TH_molecule': 1631, 'B_molecule': 1613, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 334, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 439, 'B_PRESENTING_molecule': 2}"
291,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1509, 'TH_molecule': 1639, 'B_molecule': 1622, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 334, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 436, 'B_PRESENTING_molecule': 2}"
292,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1518, 'TH_molecule': 1648, 'B_molecule': 1621, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 334, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 433, 'B_PRESENTING_molecule': 2}"
293,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1526, 'TH_molecule': 1656, 'B_molecule': 1630, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 335, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 428, 'B_PRESENTING_molecule': 2}"
294,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1526, 'TH_molecule': 1655, 'B_molecule': 1638, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 336, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 423, 'B_PRESENTING_molecule': 2}"
295,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1534, 'TH_molecule': 1662, 'B_molecule': 1647, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 337, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 418, 'B_PRESENTING_molecule': 2}"
296,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1542, 'TH_molecule': 1670, 'B_molecule': 1655, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 337, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 415, 'B_PRESENTING_molecule': 2}"
297,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1541, 'TH_molecule': 1678, 'B_molecule': 1663, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 337, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 410, 'B_PRESENTING_molecule': 2}"
298,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1549, 'TH_molecule': 1685, 'B_molecule': 1672, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 338, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 408, 'B_PRESENTING_molecule': 2}"
299,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1549, 'TH_molecule': 1692, 'B_molecule': 1680, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 339, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 404, 'B_PRESENTING_molecule': 2}"
300,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1557, 'TH_molecule': 1700, 'B_molecule': 1689, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 339, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 401, 'B_PRESENTING_molecule': 2}"
301,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1565, 'TH_molecule': 1708, 'B_molecule': 1688, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 339, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 396, 'B_PRESENTING_molecule': 2}"
302,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1574, 'TH_molecule': 1715, 'B_molecule': 1696, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 340, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 392, 'B_PRESENTING_molecule': 2}"
303,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1583, 'TH_molecule': 1722, 'B_molecule': 1704, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 341, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 387, 'B_PRESENTING_molecule': 2}"
304,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1592, 'TH_molecule': 1729, 'B_molecule': 1712, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 342, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 384, 'B_PRESENTING_molecule': 2}"
305,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1600, 'TH_molecule': 1736, 'B_molecule': 1720, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 343, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 380, 'B_PRESENTING_molecule': 2}"
306,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1609, 'TH_molecule': 1744, 'B_molecule': 1728, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 343, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 375, 'B_PRESENTING_molecule': 2}"
307,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1617, 'TH_molecule': 1752, 'B_molecule': 1736, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 344, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 372, 'B_PRESENTING_molecule': 2}"
308,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 1626, 'TH_molecule': 1759, 'B_molecule': 1744, 'B_ACTIVE_molecule': 433, 'VOID_molecule': 134, 'MP_ACTIVE_molecule': 90, 'TH_ACTIVE_molecule': 345, 'B_MEMORY_molecule': 300, 'B_PLASMA_molecule': 1190, 'IGG_molecule': 367, 'B_PRESENTING_molecule': 2}"
