,victim
55,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 333, 'TH_molecule': 335, 'B_molecule': 395}"
56,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 342, 'TH_molecule': 343, 'B_molecule': 403}"
57,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 350, 'TH_molecule': 343, 'B_molecule': 411}"
58,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 349, 'TH_molecule': 351, 'B_molecule': 411}"
59,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 357, 'TH_molecule': 359, 'B_molecule': 419}"
60,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 365, 'TH_molecule': 368, 'B_molecule': 427}"
61,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 373, 'TH_molecule': 376, 'B_molecule': 436}"
62,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 372, 'TH_molecule': 384, 'B_molecule': 444}"
63,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 380, 'TH_molecule': 392, 'B_molecule': 452}"
64,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 380, 'TH_molecule': 400, 'B_molecule': 460}"
65,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 379, 'TH_molecule': 408, 'B_molecule': 460}"
66,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 388, 'TH_molecule': 407, 'B_molecule': 459}"
67,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 396, 'TH_molecule': 415, 'B_molecule': 468}"
68,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 396, 'TH_molecule': 414, 'B_molecule': 476}"
69,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 396, 'TH_molecule': 422, 'B_molecule': 485}"
70,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 395, 'TH_molecule': 421, 'B_molecule': 493}"
71,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 394, 'TH_molecule': 420, 'B_molecule': 492}"
72,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 402, 'TH_molecule': 428, 'B_molecule': 500}"
73,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 410, 'TH_molecule': 427, 'B_molecule': 499}"
74,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 419, 'TH_molecule': 435, 'B_molecule': 507}"
75,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 427, 'TH_molecule': 444, 'B_molecule': 515}"
76,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 426, 'TH_molecule': 452, 'B_molecule': 524}"
77,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 425, 'TH_molecule': 460, 'B_molecule': 532}"
78,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 433, 'TH_molecule': 468, 'B_molecule': 531}"
79,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 442, 'TH_molecule': 477, 'B_molecule': 530}"
80,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 451, 'TH_molecule': 486, 'B_molecule': 538}"
81,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 459, 'TH_molecule': 495, 'B_molecule': 546}"
82,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 458, 'TH_molecule': 503, 'B_molecule': 545}"
83,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 466, 'TH_molecule': 503, 'B_molecule': 554}"
84,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 474, 'TH_molecule': 511, 'B_molecule': 562}"
85,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 473, 'TH_molecule': 511, 'B_molecule': 570}"
86,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 481, 'TH_molecule': 511, 'B_molecule': 578}"
87,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 489, 'TH_molecule': 519, 'B_molecule': 586}"
